Time,Spot,VIX,11250CELtp,11250CECLtp,11250CEPCLtp,11250CEOI,11250CECOI,11250CEPCOI,11300PELtp,11300PECLtp,11300PEPCLtp,11300PEOI,11300PECOI,11300PEPCOI,Hedge,Total
09:15,11329.85,22.36,179.25,-134.64999999999998,-42.89582669640012,359.0,339.0,1695.0,83.0,44.1,113.36760925449872,18492.0,6429.0,53.295200198955484,11250CE11300PE,262.25
09:30,11262.95,23.15,163.85,-4.25,-2.5282569898869722,431.0,72.0,20.055710306406684,77.7,-21.099999999999994,-21.35627530364372,22804.0,4312.0,23.318191650443435,11250CE11300PE,241.55
09:45,11294.85,22.8,126.4,-41.69999999999999,-24.806662700773344,847.0,488.0,135.93314763231197,114.45,15.650000000000006,15.840080971659926,24216.0,5724.0,30.953926022063595,11250CE11300PE,240.85000000000002
10:00,11315.25,22.69,132.7,-35.400000000000006,-21.058893515764428,2169.0,1810.0,504.1782729805014,101.75,2.950000000000003,2.985829959514173,23798.0,5306.0,28.693489076357345,11250CE11300PE,234.45
10:15,11307.05,22.57,134.2,-33.900000000000006,-20.166567519333732,2226.0,1867.0,520.0557103064067,96.0,-2.799999999999997,-2.8340080971659893,24870.0,6378.0,34.490590525632705,11250CE11300PE,230.2
10:30,11307.15,22.61,132.95,-35.150000000000006,-20.910172516359314,2147.0,1788.0,498.050139275766,96.65,-2.1499999999999915,-2.1761133603238783,26408.0,7916.0,42.80770062729829,11250CE11300PE,229.6
10:45,11302.35,22.8,131.55,-36.54999999999998,-21.74301011302795,2265.0,1906.0,530.9192200557103,96.75,-2.049999999999997,-2.0748987854250984,27521.0,9029.0,48.82651957603288,11250CE11300PE,228.3
11:00,11319.6,22.57,126.1,-42.0,-24.98512790005949,2484.0,2125.0,591.9220055710307,101.4,2.6000000000000085,2.63157894736843,28916.0,10424.0,56.3703223015358,11250CE11300PE,227.5
11:15,11328.9,22.36,134.0,-34.099999999999994,-20.28554431885782,2581.0,2222.0,618.941504178273,95.0,-3.799999999999997,-3.8461538461538436,30588.0,12096.0,65.4120700843608,11250CE11300PE,229.0
11:30,11334.0,22.34,141.0,-27.099999999999994,-16.121356335514573,2356.0,1997.0,556.2674094707521,86.6,-12.200000000000003,-12.348178137651825,30740.0,12248.0,66.23404715552671,11250CE11300PE,227.6
11:45,11318.65,22.46,140.95,-27.150000000000006,-16.151100535395603,2732.0,2373.0,661.0027855153203,89.0,-9.799999999999997,-9.919028340080969,32222.0,13730.0,74.24832359939434,11250CE11300PE,229.95
12:00,11322.35,22.42,136.5,-31.599999999999994,-18.79833432480666,2879.0,2520.0,701.949860724234,93.4,-5.3999999999999915,-5.465587044534404,34113.0,15621.0,84.47436729396496,11250CE11300PE,229.9
12:15,11321.3,22.49,131.4,-36.69999999999999,-21.832242712671025,2907.0,2548.0,709.7493036211699,94.75,-4.049999999999997,-4.099190283400807,33679.0,15187.0,82.12740644603072,11250CE11300PE,226.15
12:30,11320.15,22.45,138.15,-29.94999999999999,-17.816775728732893,2953.0,2594.0,722.5626740947075,89.55,-9.25,-9.362348178137653,33513.0,15021.0,81.22972096041532,11250CE11300PE,227.7
12:45,11319.35,22.51,140.0,-28.099999999999994,-16.716240333135033,2997.0,2638.0,734.8189415041783,87.0,-11.799999999999997,-11.943319838056677,34198.0,15706.0,84.93402552455116,11250CE11300PE,227.0
13:00,11334.75,22.35,139.2,-28.900000000000006,-17.192147531231413,2979.0,2620.0,729.8050139275766,87.45,-11.349999999999994,-11.48785425101214,34391.0,15899.0,85.9777200951763,11250CE11300PE,226.64999999999998